model_tag,summary_level,anchor_template,condition,position,layers,real_mean,real_ci_lo,real_ci_hi,rand_mean,rand_ci_lo,rand_ci_hi,real_vs_rand,peak_layer,n_items
llama32_3b,by_anchor,in charge,SS,final,1+,4.118116319444445,4.062215404369213,4.17246070240162,0.03613208912037037,0.031195656105324068,0.04048518880208333,4.081984230324075,27,200
llama32_3b,by_anchor,in charge,SS,subject,1+,3.5868446180555553,3.485476019965278,3.681029658564815,-0.00581886574074074,-0.007336877893518518,-0.004306098090277779,3.581025752314815,1,200
llama32_3b,by_anchor,in question,PP,distractor,1+,0.06351128472222223,0.057589445891203704,0.06981850405092592,0.028925057870370374,0.02611255787037037,0.03163997395833334,0.03458622685185185,19,200
llama32_3b,by_anchor,in question,PP,final,1+,2.1095113570601853,2.090462447554977,2.1266660246672457,0.07471643518518518,0.07135481770833334,0.07828399884259261,2.034794921875,27,200
llama32_3b,by_anchor,in question,PP,subject,1+,0.21407986111111113,0.20422030526620372,0.22333742042824073,-0.014091435185185186,-0.015571940104166668,-0.012673502604166666,0.19998842592592594,19,200
llama32_3b,by_anchor,in question,PS,distractor,1+,0.3337471064814814,0.3105792462384259,0.35611244936342595,0.007566550925925925,0.005765046296296297,0.009288194444444444,0.3261805555555555,1,200
llama32_3b,by_anchor,in question,PS,final,1+,2.7642625144675925,2.715813702618634,2.8106508246527784,0.0819458912037037,0.0789390914351852,0.08506394675925925,2.6823166232638886,27,200
llama32_3b,by_anchor,in question,PS,subject,1+,0.30094184027777776,0.2885253544560185,0.31317165798611113,-0.023723958333333336,-0.025144712094907404,-0.02231177662037037,0.2772178819444444,19,200
llama32_3b,by_anchor,in question,SP,distractor,1+,0.32267939814814817,0.3090974392361111,0.3361831958912037,-0.013580729166666665,-0.015442816840277778,-0.01163451244212963,0.30909866898148153,20,200
llama32_3b,by_anchor,in question,SP,final,1+,3.121064814814815,3.061879123263889,3.183808702256944,0.00904513888888889,0.006502929687500001,0.0115591724537037,3.112019675925926,27,200
llama32_3b,by_anchor,in question,SP,subject,1+,2.8761820023148146,2.790978515625,2.9593760127314814,0.009678819444444445,0.008129267939814814,0.01120974392361111,2.86650318287037,1,200
llama32_3b,by_anchor,in question,SS,distractor,1+,0.9735619212962964,0.9375072337962962,1.0132773799189816,-0.010697337962962962,-0.012964409722222223,-0.008592954282407408,0.9628645833333334,1,200
llama32_3b,by_anchor,in question,SS,final,1+,4.484983362268519,4.402080584490741,4.570890606915509,0.03337094907407408,0.028140625000000002,0.03853935185185185,4.451612413194445,27,200
llama32_3b,by_anchor,in question,SS,subject,1+,3.809781539351852,3.6977140118634257,3.9191148003472223,0.0012630208333333337,-0.00032016782407407395,0.002926974826388889,3.8085185185185186,1,200
llama32_3b,by_anchor,on call,PP,distractor,1+,0.0548509837962963,0.048746021412037044,0.06082917390046296,0.022621527777777775,0.020602864583333335,0.024649920428240737,0.032229456018518524,19,200
llama32_3b,by_anchor,on call,PP,final,1+,1.7569835069444446,1.7278189652054396,1.791324417679398,0.038905526620370376,0.033202275028935184,0.04394010416666666,1.7180779803240742,27,200
llama32_3b,by_anchor,on call,PP,subject,1+,0.1606423611111111,0.15093963396990742,0.17034505208333334,-0.013820891203703702,-0.015422779224537036,-0.012106372974537037,0.1468214699074074,19,200
llama32_3b,by_anchor,on call,PS,distractor,1+,0.31392361111111106,0.28809733072916666,0.3403421223958333,0.01469039351851852,0.013001953125,0.01637887008101852,0.2992332175925925,19,200
llama32_3b,by_anchor,on call,PS,final,1+,2.064038447627315,2.0073232647931136,2.127009797272859,0.03280815972222222,0.027630750868055554,0.03797609230324075,2.0312302879050925,27,200
llama32_3b,by_anchor,on call,PS,subject,1+,0.19808738425925929,0.18888606770833333,0.2076681495949074,-0.01773726851851852,-0.019479239004629632,-0.015851490162037036,0.18035011574074078,22,200
llama32_3b,by_anchor,on call,SP,distractor,1+,0.46339699074074076,0.440568431712963,0.48712876157407403,-0.015594618055555554,-0.01752097800925926,-0.01376005497685185,0.4478023726851852,19,200
llama32_3b,by_anchor,on call,SP,final,1+,3.058310908564814,2.99986060474537,3.1119246780960643,0.0003009259259259267,-0.0032755353009259257,0.004071252893518519,3.0580099826388882,27,200
llama32_3b,by_anchor,on call,SP,subject,1+,2.9503761574074074,2.8378211082175926,3.0607030888310183,0.005784143518518518,0.004323531539351852,0.007212131076388888,2.944592013888889,1,200
llama32_3b,by_anchor,on call,SS,distractor,1+,1.1097019675925928,1.062410915798611,1.1594512803819443,-0.01343605324074074,-0.015240903501157406,-0.011763834635416668,1.096265914351852,20,200
llama32_3b,by_anchor,on call,SS,final,1+,4.233332609953703,4.167355161313657,4.299887839988426,0.03982494212962963,0.035927734375000006,0.04410302734375,4.193507667824074,27,200
llama32_3b,by_anchor,on call,SS,subject,1+,3.4380034722222224,3.318018898292824,3.555876627604167,-0.0061892361111111115,-0.007511736834490741,-0.004861038773148149,3.4318142361111112,1,200
llama32_3b,by_anchor,on duty,PP,distractor,1+,0.0993648726851852,0.09407537615740742,0.10463136574074072,0.019052372685185184,0.01718894675925926,0.020936161747685183,0.08031250000000001,19,200
llama32_3b,by_anchor,on duty,PP,final,1+,1.8212944878472224,1.799520462601273,1.8438571053964121,0.0761154513888889,0.07280638744212964,0.07923473668981483,1.7451790364583335,27,200
llama32_3b,by_anchor,on duty,PP,subject,1+,0.13419560185185184,0.12600405092592593,0.14168464265046296,-0.009411168981481482,-0.010779839409722224,-0.008012116608796294,0.12478443287037036,19,200
llama32_3b,by_anchor,on duty,PS,distractor,1+,0.36990451388888895,0.35202043547453704,0.3893438585069444,0.01211082175925926,0.010078088831018519,0.014006763599537037,0.3577936921296297,1,200
llama32_3b,by_anchor,on duty,PS,final,1+,2.0865587022569443,2.051552521882234,2.1206008978949655,0.07368778935185186,0.070453125,0.0769461082175926,2.0128709129050923,27,200
llama32_3b,by_anchor,on duty,PS,subject,1+,0.1800535300925926,0.17225227864583334,0.1882124927662037,-0.017090567129629627,-0.01847081163194444,-0.015710141782407407,0.16296296296296298,19,200
llama32_3b,by_anchor,on duty,SP,distractor,1+,0.42604745370370367,0.40599895109953704,0.4472014973958333,-0.014254918981481481,-0.016018590856481482,-0.012530309606481481,0.4117925347222222,19,200
llama32_3b,by_anchor,on duty,SP,final,1+,2.6795811631944444,2.6293315248842593,2.725797507957176,-0.0029354745370370372,-0.00539966724537037,-0.0003137659143518518,2.6766456886574073,27,200
llama32_3b,by_anchor,on duty,SP,subject,1+,2.6729210069444447,2.588055483217593,2.7577937644675923,0.013868634259259261,0.012277162905092592,0.0156080005787037,2.6590523726851854,1,200
llama32_3b,by_anchor,on duty,SS,distractor,1+,1.0960575810185185,1.0542029803240742,1.1385508535879632,-0.00796730324074074,-0.009615668402777777,-0.006557834201388889,1.0880902777777777,2,200
llama32_3b,by_anchor,on duty,SS,final,1+,3.9051077835648154,3.8376683123553237,3.968710684317129,0.017728587962962963,0.014175238715277778,0.021148328993055555,3.887379195601852,27,200
llama32_3b,by_anchor,on duty,SS,subject,1+,3.2853732638888884,3.171408998842592,3.3945068359375,-0.001963252314814815,-0.0033753978587962967,-0.0005808376736111118,3.2834100115740736,1,200
llama32_3b,by_anchor,on site,PP,distractor,1+,0.11185908564814813,0.10413111255787037,0.1202496021412037,0.010535300925925925,0.009032841435185185,0.012128291377314816,0.1013237847222222,19,200
llama32_3b,by_anchor,on site,PP,final,1+,1.969837601273148,1.945258201316551,1.9931896158854165,0.08858506944444444,0.08575495515046296,0.09152463107638889,1.8812525318287037,27,200
llama32_3b,by_anchor,on site,PP,subject,1+,0.15549913194444442,0.14764196325231482,0.16360611979166664,-0.014564525462962963,-0.01587427662037037,-0.013218894675925926,0.14093460648148146,19,200
llama32_3b,by_anchor,on site,PS,distractor,1+,0.3207219328703704,0.30272786458333334,0.3389177879050926,0.007996238425925926,0.006319408275462963,0.009736906828703703,0.3127256944444444,19,200
llama32_3b,by_anchor,on site,PS,final,1+,2.1279499421296295,2.0905027759693287,2.1630003345630793,0.08778645833333334,0.08438364438657407,0.09155964265046294,2.040163483796296,27,200
llama32_3b,by_anchor,on site,PS,subject,1+,0.17831452546296298,0.16943869357638888,0.18753584346064817,-0.020526620370370372,-0.022028645833333332,-0.019032588252314818,0.1577879050925926,19,200
llama32_3b,by_anchor,on site,SP,distractor,1+,0.4018909143518519,0.38421824363425927,0.42088444010416665,-0.00781394675925926,-0.009424189814814814,-0.006041594328703704,0.39407696759259264,20,200
llama32_3b,by_anchor,on site,SP,final,1+,2.5294466145833336,2.4950735315393526,2.563071632667824,-0.0016044560185185185,-0.0037592954282407403,0.00040516493055555553,2.527842158564815,27,200
llama32_3b,by_anchor,on site,SP,subject,1+,2.1128616898148147,2.027949616608796,2.1943197337962967,0.013088831018518519,0.01183734809027778,0.014557906539351852,2.099772858796296,1,200
