model_tag,aux_pair,distance_bucket,role,layer,real_mean,rand_mean,n
phi2,be_present,extra_long,subject,15,2.465018005371094,0.0010978031158447267,100
phi2,be_present,extra_long,subject,16,2.4138094997406006,-0.07028587341308594,100
phi2,be_present,extra_long,subject,17,2.4083706092834474,-0.03394454002380371,100
phi2,be_present,extra_long,subject,18,2.3761180305480956,0.04388503074645996,100
phi2,be_present,extra_long,subject,19,2.339034948348999,0.0716314697265625,100
phi2,be_present,extra_long,subject,20,2.2791543292999266,0.07830107688903809,100
phi2,be_present,extra_long,subject,21,2.1891573524475096,0.142844820022583,100
phi2,be_present,extra_long,subject,22,2.1929504013061525,0.08115968704223633,100
phi2,be_present,extra_long,subject,23,0.20002020835876466,0.014149208068847657,100
phi2,be_present,extra_long,subject,24,0.18249181747436524,0.006384096145629883,100
phi2,be_present,extra_long,subject,25,0.07231224060058594,-0.038477544784545896,100
phi2,be_present,extra_long,subject,26,0.03375565528869629,0.0035909938812255858,100
phi2,be_present,extra_long,subject,27,0.024074392318725588,-0.0002758502960205078,100
phi2,be_present,extra_long,subject,28,0.008439159393310547,-6.543159484863281e-05,100
phi2,be_present,extra_long,subject,29,0.0001449298858642578,6.827354431152344e-05,100
phi2,be_present,extra_long,subject,30,9.22393798828125e-05,-0.0020498085021972657,100
phi2,be_present,extra_long,subject,31,0.0,0.0,100
phi2,be_present,long,between_subject_distractor,1,1.5809791875003008,0.01208044625268194,100
phi2,be_present,long,between_subject_distractor,2,2.4145407042479867,0.021316547111924645,100
phi2,be_present,long,between_subject_distractor,3,1.8646824559554678,0.02282204181689934,100
phi2,be_present,long,between_subject_distractor,4,2.8567443810073025,-0.026525445759590035,100
phi2,be_present,long,between_subject_distractor,5,2.634601658788221,-0.059034634106264916,100
phi2,be_present,long,between_subject_distractor,6,2.520604011460478,-0.00892329098555842,100
phi2,be_present,long,between_subject_distractor,7,2.3439055005905076,0.04874072990981229,100
phi2,be_present,long,between_subject_distractor,8,2.297927198738887,-0.05296387695913832,100
phi2,be_present,long,between_subject_distractor,9,2.247132122810251,0.02699439044069187,100
phi2,be_present,long,between_subject_distractor,10,2.0915697971588285,0.05705407335253185,100
phi2,be_present,long,between_subject_distractor,11,1.937606233681364,0.1150241767244386,100
phi2,be_present,long,between_subject_distractor,12,1.9253549763721785,0.017837956621141855,100
phi2,be_present,long,between_subject_distractor,13,1.927372302915075,0.07156447706551387,100
phi2,be_present,long,between_subject_distractor,14,1.897545138016123,0.1002582399715931,100
phi2,be_present,long,between_subject_distractor,15,1.767748889077473,0.041972028798070445,100
phi2,be_present,long,between_subject_distractor,16,1.7825436192780293,-0.10701135344105989,100
phi2,be_present,long,between_subject_distractor,17,1.7577822689939602,0.06234111691930611,100
phi2,be_present,long,between_subject_distractor,18,1.3800324454096151,-0.01044951753663312,100
phi2,be_present,long,between_subject_distractor,19,1.6883329100209503,0.014682440922178071,100
phi2,be_present,long,between_subject_distractor,20,1.6545038974931088,0.11537701273199373,100
phi2,be_present,long,between_subject_distractor,21,1.77696234604408,0.097101267922688,100
phi2,be_present,long,between_subject_distractor,22,2.607143087340106,0.057910674898495225,100
phi2,be_present,long,between_subject_distractor,23,0.11631513229144617,0.005276769252833474,100
phi2,be_present,long,between_subject_distractor,24,0.06310491139078375,0.00017211707354766395,100
phi2,be_present,long,between_subject_distractor,25,0.04426872554083763,-0.010825105488593943,100
phi2,be_present,long,between_subject_distractor,26,0.015503446456834014,0.0016145753155788177,100
phi2,be_present,long,between_subject_distractor,27,0.011959902758668796,-0.0032020155432189038,100
phi2,be_present,long,between_subject_distractor,28,0.0028873124146109146,0.0006885058774149476,100
phi2,be_present,long,between_subject_distractor,29,8.760649582435345e-05,5.396951008312808e-05,100
phi2,be_present,long,between_subject_distractor,30,0.0004647494536902517,-0.05141425485094193,100
phi2,be_present,long,between_subject_distractor,31,0.0,0.0,100
phi2,be_present,long,distractor,1,0.06931604385375977,-0.05548637390136719,100
phi2,be_present,long,distractor,2,-0.04068544387817383,-0.10260747909545899,100
phi2,be_present,long,distractor,3,-0.5201350498199463,0.11501879692077636,100
phi2,be_present,long,distractor,4,-0.11489879608154296,0.048160982131958005,100
phi2,be_present,long,distractor,5,-0.22859684944152833,-0.012127799987792969,100
phi2,be_present,long,distractor,6,-0.07446640014648437,0.006206760406494141,100
phi2,be_present,long,distractor,7,-0.11518174171447754,0.027552824020385742,100
phi2,be_present,long,distractor,8,-0.2715650272369385,-0.04363466262817383,100
phi2,be_present,long,distractor,9,-0.13670976638793944,0.13126320838928224,100
phi2,be_present,long,distractor,10,0.19256678581237793,-0.020672998428344726,100
phi2,be_present,long,distractor,11,0.18853593826293946,0.12499871253967285,100
phi2,be_present,long,distractor,12,0.308629674911499,-0.1165849781036377,100
phi2,be_present,long,distractor,13,0.3743725872039795,-0.01138500213623047,100
phi2,be_present,long,distractor,14,0.37850276947021483,-0.036678285598754884,100
phi2,be_present,long,distractor,15,0.513419017791748,0.06349397659301757,100
phi2,be_present,long,distractor,16,0.5609565639495849,0.027439098358154296,100
phi2,be_present,long,distractor,17,0.5029938697814942,0.0748138427734375,100
phi2,be_present,long,distractor,18,0.5576381397247314,-0.17260318756103515,100
phi2,be_present,long,distractor,19,1.7242247486114501,-0.1265282726287842,100
phi2,be_present,long,distractor,20,1.819124059677124,0.10611790657043457,100
phi2,be_present,long,distractor,21,2.3951879596710204,0.08314648628234864,100
phi2,be_present,long,distractor,22,3.817209529876709,0.08198372840881347,100
phi2,be_present,long,distractor,23,0.5263951873779297,-0.04323064804077149,100
phi2,be_present,long,distractor,24,0.5234892845153809,-0.017099266052246095,100
phi2,be_present,long,distractor,25,0.4146520900726318,-0.029603357315063476,100
phi2,be_present,long,distractor,26,0.18709267616271974,-0.016966352462768553,100
phi2,be_present,long,distractor,27,0.22833277702331542,-0.0008903217315673829,100
phi2,be_present,long,distractor,28,0.01250269889831543,0.0011755084991455077,100
phi2,be_present,long,distractor,29,0.007045555114746094,-0.00018894195556640625,100
phi2,be_present,long,distractor,30,0.002889060974121094,-0.021596164703369142,100
phi2,be_present,long,distractor,31,0.0,0.0,100
phi2,be_present,long,filler_after_distractor,1,0.0917219501071506,-0.035441535313924154,100
phi2,be_present,long,filler_after_distractor,2,0.0877144463857015,0.0318381479051378,100
phi2,be_present,long,filler_after_distractor,3,0.11349088774787056,0.027443804211086695,100
phi2,be_present,long,filler_after_distractor,4,0.302301517062717,-0.00550087292989095,100
phi2,be_present,long,filler_after_distractor,5,0.3505867089165582,-0.016020002365112303,100
phi2,be_present,long,filler_after_distractor,6,0.42301842265658907,-0.005024473402235243,100
phi2,be_present,long,filler_after_distractor,7,0.48908138699001735,0.041166055467393665,100
phi2,be_present,long,filler_after_distractor,8,0.5199248356289333,-0.04179680930243598,100
phi2,be_present,long,filler_after_distractor,9,0.5795918422275119,0.014682253731621636,100
phi2,be_present,long,filler_after_distractor,10,0.6732394218444824,0.04152862230936686,100
phi2,be_present,long,filler_after_distractor,11,0.6100020758310953,0.03586795171101888,100
phi2,be_present,long,filler_after_distractor,12,0.8241739273071289,-0.016945118374294705,100
phi2,be_present,long,filler_after_distractor,13,0.8280596288045248,0.06288237677680121,100
phi2,be_present,long,filler_after_distractor,14,0.9187467161814372,0.017102574242485895,100
phi2,be_present,long,filler_after_distractor,15,0.9827237213982476,0.0694693194495307,100
phi2,be_present,long,filler_after_distractor,16,0.9586005348629422,-0.01485539436340332,100
phi2,be_present,long,filler_after_distractor,17,0.8925041770935058,-0.004599044587877061,100
phi2,be_present,long,filler_after_distractor,18,0.8339066939883762,0.003424187766181098,100
phi2,be_present,long,filler_after_distractor,19,1.189090085559421,-0.03631017155117459,100
